Source name	Young's modulus (Pa)	Contact X (μm)	Contact Y (nN)	Transition indent (μm)	Transition force (pN)	Deformation (μm)	Adhesion force (pN)	R Squared	Spring const (N/m)	Sensitivity (μm/V)	Tip geometry	Batch	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.25.31.436.jpk-force	-1.6791	4.0173	-2.3156	4.7253	-57.4829	4.7253	17.4806	0.7791	0.0316	0.0234	Paraboloid (Hertz)	3	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.48.36.139.jpk-force	202.9408	7.0696	-1.3356	0.9685	553.6047	1.021	35.4931	0.993	0.0316	0.0234	Paraboloid (Hertz)	3	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.29.17.953.jpk-force	90.6682	2.9662	-0.8372	1.5578	512.1643	1.7326	213.941	0.9689	0.0316	0.0234	Paraboloid (Hertz)	3	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.28.06.533.jpk-force	-2.4317	5.67	-0.3825	6.0423	-87.5723	6.3555	83.839	0.571	0.0316	0.0234	Paraboloid (Hertz)	3	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.27.21.146.jpk-force	-1.3835	6.7246	-2.9461	7.4184	-79.769	7.4184	48.1325	0.8549	0.0316	0.0234	Paraboloid (Hertz)	3	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.45.08.289.jpk-force	70.2722	8.006	-0.6821	2.0451	597.1338	2.0561	65.4799	0.9949	0.0316	0.0234	Paraboloid (Hertz)	3	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.46.44.744.jpk-force	132.5868	5.2771	-1.0174	1.392	630.8749	1.399	89.9245	0.9954	0.0316	0.0234	Paraboloid (Hertz)	3	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.35.32.985.jpk-force	170.7132	4.3309	-2.3215	1.0765	553.1881	1.1665	77.1468	0.9905	0.0316	0.0234	Paraboloid (Hertz)	3	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.46.35.354.jpk-force	121.9642	5.2941	-1.0242	1.5131	655.9122	1.5294	89.7718	0.9952	0.0316	0.0234	Paraboloid (Hertz)	3	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.37.08.883.jpk-force	129.9172	4.3881	-2.6577	1.4318	637.6742	1.4332	49.544	0.9958	0.0316	0.0234	Paraboloid (Hertz)	3	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.44.17.627.jpk-force	132.2914	6.9686	-0.5992	1.0148	415.542	1.2645	235.9735	0.9461	0.0316	0.0234	Paraboloid (Hertz)	3	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.26.59.719.jpk-force	-3.9702	2.6842	-2.8466	3.3802	-74.2439	3.3802	49.5265	0.8187	0.0316	0.0234	Paraboloid (Hertz)	3	
/home/jorge/Documentos/kruno/not-treated/force-save-2019.11.19-12.38.19.049.jpk-force	-2.409	4.0303	0.4077	4.6244	-77.9879	4.6244	44.1773	0.8552	0.0316	0.0234	Paraboloid (Hertz)	3	
